This file was created by CODIAN@move
Donnerstag, 8. Juli 2010		19:22

Profile mode:	1-D-Scan    Z
Timebase Counter [ms]:	1000
No. of Steps:	151
Pos. X	Pos.Y	Pos. Z	Probe	Reference	norm. Probe	norm. Factor
70.00	86.00	75.00	28460	35100000	28460	1.00000
70.00	86.00	74.90	28570	35140000	28537	0.99886
70.00	86.00	74.80	28730	35140000	28697	0.99886
70.00	86.00	74.70	28850	35070000	28875	1.00086
70.00	86.00	74.60	29060	35100000	29060	1.00000
70.00	86.00	74.50	29250	35130000	29225	0.99915
70.00	86.00	74.40	29430	35170000	29371	0.99801
70.00	86.00	74.30	29610	35190000	29534	0.99744
70.00	86.00	74.20	29750	35180000	29682	0.99773
70.00	86.00	74.10	29850	35130000	29825	0.99915
70.00	86.00	74.00	30170	35180000	30101	0.99773
70.00	86.00	73.90	30310	35170000	30250	0.99801
70.00	86.00	73.80	30450	35090000	30459	1.00028
70.00	86.00	73.70	30550	35030000	30611	1.00200
70.00	86.00	73.60	30790	35020000	30860	1.00228
70.00	86.00	73.50	31020	35040000	31073	1.00171
70.00	86.00	73.40	31330	35050000	31375	1.00143
70.00	86.00	73.30	31570	35140000	31534	0.99886
70.00	86.00	73.20	31820	35110000	31811	0.99972
70.00	86.00	73.10	31970	34980000	32080	1.00343
70.00	86.00	73.00	32210	35020000	32284	1.00228
70.00	86.00	72.90	32630	35160000	32574	0.99829
70.00	86.00	72.80	32940	35210000	32837	0.99688
70.00	86.00	72.70	33230	35220000	33117	0.99659
70.00	86.00	72.60	33550	35240000	33417	0.99603
70.00	86.00	72.50	33710	35130000	33681	0.99915
70.00	86.00	72.40	34020	35200000	33923	0.99716
70.00	86.00	72.30	34330	35160000	34271	0.99829
70.00	86.00	72.20	34580	35130000	34550	0.99915
70.00	86.00	72.10	34960	35140000	34920	0.99886
70.00	86.00	72.00	35270	35150000	35220	0.99858
70.00	86.00	71.90	35640	35170000	35569	0.99801
70.00	86.00	71.80	35950	35050000	36001	1.00143
70.00	86.00	71.70	36350	35110000	36340	0.99972
70.00	86.00	71.60	36680	35030000	36753	1.00200
70.00	86.00	71.50	37160	35090000	37171	1.00028
70.00	86.00	71.40	37570	35100000	37570	1.00000
70.00	86.00	71.30	37880	35040000	37945	1.00171
70.00	86.00	71.20	38370	35060000	38414	1.00114
70.00	86.00	71.10	38900	35080000	38922	1.00057
70.00	86.00	71.00	39350	35040000	39417	1.00171
70.00	86.00	70.90	39800	34990000	39925	1.00314
70.00	86.00	70.80	40520	35080000	40543	1.00057
70.00	86.00	70.70	41240	35110000	41228	0.99972
70.00	86.00	70.60	41660	34970000	41815	1.00372
70.00	86.00	70.50	42500	35060000	42548	1.00114
70.00	86.00	70.40	43340	35120000	43315	0.99943
70.00	86.00	70.30	44260	35130000	44222	0.99915
70.00	86.00	70.20	45060	35120000	45034	0.99943
70.00	86.00	70.10	46190	35240000	46006	0.99603
70.00	86.00	70.00	47170	35140000	47116	0.99886
70.00	86.00	69.90	48170	35120000	48143	0.99943
70.00	86.00	69.80	49480	35050000	49551	1.00143
70.00	86.00	69.70	50690	35090000	50704	1.00028
70.00	86.00	69.60	52120	35000000	52269	1.00286
70.00	86.00	69.50	53650	35140000	53589	0.99886
70.00	86.00	69.40	55100	35110000	55084	0.99972
70.00	86.00	69.30	56660	35170000	56547	0.99801
70.00	86.00	69.20	58090	35140000	58024	0.99886
70.00	86.00	69.10	59600	35210000	59414	0.99688
70.00	86.00	69.00	61090	35320000	60709	0.99377
70.00	86.00	68.90	61950	35250000	61686	0.99574
70.00	86.00	68.80	62880	35170000	62755	0.99801
70.00	86.00	68.70	63690	35250000	63419	0.99574
70.00	86.00	68.60	63790	35130000	63736	0.99915
70.00	86.00	68.50	64010	35220000	63792	0.99659
70.00	86.00	68.40	63690	35280000	63365	0.99490
70.00	86.00	68.30	62780	35250000	62513	0.99574
70.00	86.00	68.20	61760	35240000	61515	0.99603
70.00	86.00	68.10	60450	35330000	60056	0.99349
70.00	86.00	68.00	58650	35330000	58268	0.99349
70.00	86.00	67.90	56540	35260000	56283	0.99546
70.00	86.00	67.80	53900	35270000	53640	0.99518
70.00	86.00	67.70	51060	35270000	50814	0.99518
70.00	86.00	67.60	47910	35150000	47842	0.99858
70.00	86.00	67.50	44730	35170000	44641	0.99801
70.00	86.00	67.40	41280	35170000	41198	0.99801
70.00	86.00	67.30	37590	35070000	37622	1.00086
70.00	86.00	67.20	34320	35260000	34164	0.99546
70.00	86.00	67.10	30580	35260000	30441	0.99546
70.00	86.00	67.00	26970	35210000	26886	0.99688
70.00	86.00	66.90	23560	35230000	23473	0.99631
70.00	86.00	66.80	20340	35330000	20208	0.99349
70.00	86.00	66.70	17180	35310000	17078	0.99405
70.00	86.00	66.60	14270	35160000	14246	0.99829
70.00	86.00	66.50	11660	35120000	11653	0.99943
70.00	86.00	66.40	9430	35210000	9401	0.99688
70.00	86.00	66.30	7440	35290000	7400	0.99462
70.00	86.00	66.20	5830	35340000	5790	0.99321
70.00	86.00	66.10	4470	35330000	4441	0.99349
70.00	86.00	66.00	3280	35290000	3262	0.99462
70.00	86.00	65.90	2410	35270000	2398	0.99518
70.00	86.00	65.80	1740	35220000	1734	0.99659
70.00	86.00	65.70	1210	35310000	1203	0.99405
70.00	86.00	65.60	810	35250000	807	0.99574
70.00	86.00	65.50	550	35240000	548	0.99603
70.00	86.00	65.40	330	35280000	328	0.99490
70.00	86.00	65.30	210	35140000	210	0.99886
70.00	86.00	65.20	120	35200000	120	0.99716
70.00	86.00	65.10	60	35180000	60	0.99773
70.00	86.00	65.00	30	35190000	30	0.99744
70.00	86.00	64.90	0	35250000	0	0.99574
70.00	86.00	64.79	0	35180000	0	0.99773
70.00	86.00	64.70	-20	35120000	-20	0.99943
70.00	86.00	64.60	-20	35150000	-20	0.99858
70.00	86.00	64.50	-20	35180000	-20	0.99773
70.00	86.00	64.40	-20	35080000	-20	1.00057
70.00	86.00	64.30	-30	35190000	-30	0.99744
70.00	86.00	64.20	-30	35250000	-30	0.99574
70.00	86.00	64.10	-30	35240000	-30	0.99603
70.00	86.00	64.00	-20	35260000	-20	0.99546
70.00	86.00	63.90	-30	35280000	-30	0.99490
70.00	86.00	63.80	-20	35260000	-20	0.99546
70.00	86.00	63.70	-30	35200000	-30	0.99716
70.00	86.00	63.60	-20	35240000	-20	0.99603
70.00	86.00	63.50	-30	35130000	-30	0.99915
70.00	86.00	63.40	-30	35220000	-30	0.99659
70.00	86.00	63.30	-30	35190000	-30	0.99744
70.00	86.00	63.20	-30	35150000	-30	0.99858
70.00	86.00	63.10	-30	35060000	-30	1.00114
70.00	86.00	63.00	-30	35090000	-30	1.00028
70.00	86.00	62.90	-30	35210000	-30	0.99688
70.00	86.00	62.80	-30	35210000	-30	0.99688
70.00	86.00	62.70	-30	35160000	-30	0.99829
70.00	86.00	62.60	-30	35170000	-30	0.99801
70.00	86.00	62.50	-30	35280000	-30	0.99490
70.00	86.00	62.40	-30	35190000	-30	0.99744
70.00	86.00	62.30	-20	35220000	-20	0.99659
70.00	86.00	62.20	-30	35230000	-30	0.99631
70.00	86.00	62.10	-30	35200000	-30	0.99716
70.00	86.00	62.00	-30	35160000	-30	0.99829
70.00	86.00	61.90	-20	35200000	-20	0.99716
70.00	86.00	61.80	-30	35130000	-30	0.99915
70.00	86.00	61.70	-20	35180000	-20	0.99773
70.00	86.00	61.60	-20	35130000	-20	0.99915
70.00	86.00	61.50	-30	35160000	-30	0.99829
70.00	86.00	61.40	-30	35220000	-30	0.99659
70.00	86.00	61.30	-30	35210000	-30	0.99688
70.00	86.00	61.20	-30	35200000	-30	0.99716
70.00	86.00	61.10	-30	35150000	-30	0.99858
70.00	86.00	61.00	-30	35110000	-30	0.99972
70.00	86.00	60.90	-20	35180000	-20	0.99773
70.00	86.00	60.79	-30	35150000	-30	0.99858
70.00	86.00	60.70	-30	35200000	-30	0.99716
70.00	86.00	60.59	-30	35140000	-30	0.99886
70.00	86.00	60.50	-30	35160000	-30	0.99829
70.00	86.00	60.40	-30	35190000	-30	0.99744
70.00	86.00	60.30	-20	35240000	-20	0.99603
70.00	86.00	60.20	-30	35210000	-30	0.99688
70.00	86.00	60.10	-30	35170000	-30	0.99801
70.00	86.00	60.00	-30	35170000	-30	0.99801
