This file was created by CODIAN@move
Dienstag, 3. März 2009		21:26

Profile mode:	1-D-Scan    Z
Timebase Counter [ms]:	1000
No. of Steps:	251
Pos. X	Pos.Y	Pos. Z	Probe	Reference	norm. Probe	norm. Factor
71.00	84.00	75.00	16640	21770000	16640	1.00000
71.00	84.00	74.90	16750	21770000	16750	1.00000
71.00	84.00	74.80	16750	21730000	16781	1.00184
71.00	84.00	74.70	16850	21730000	16881	1.00184
71.00	84.00	74.60	16960	21750000	16976	1.00092
71.00	84.00	74.50	17030	21750000	17046	1.00092
71.00	84.00	74.40	17130	21770000	17130	1.00000
71.00	84.00	74.30	17270	21780000	17262	0.99954
71.00	84.00	74.20	17360	21780000	17352	0.99954
71.00	84.00	74.10	17380	21760000	17388	1.00046
71.00	84.00	74.00	17510	21750000	17526	1.00092
71.00	84.00	73.90	17630	21740000	17654	1.00138
71.00	84.00	73.80	17770	21750000	17786	1.00092
71.00	84.00	73.70	17810	21720000	17851	1.00230
71.00	84.00	73.60	18030	21760000	18038	1.00046
71.00	84.00	73.50	18190	21760000	18198	1.00046
71.00	84.00	73.40	18240	21780000	18232	0.99954
71.00	84.00	73.30	18340	21750000	18357	1.00092
71.00	84.00	73.20	18510	21740000	18536	1.00138
71.00	84.00	73.10	18630	21760000	18639	1.00046
71.00	84.00	73.00	18820	21760000	18829	1.00046
71.00	84.00	72.90	18960	21750000	18977	1.00092
71.00	84.00	72.80	19140	21770000	19140	1.00000
71.00	84.00	72.70	19270	21790000	19252	0.99908
71.00	84.00	72.60	19440	21770000	19440	1.00000
71.00	84.00	72.50	19580	21770000	19580	1.00000
71.00	84.00	72.40	19740	21760000	19749	1.00046
71.00	84.00	72.30	19920	21770000	19920	1.00000
71.00	84.00	72.20	20130	21750000	20149	1.00092
71.00	84.00	72.10	20360	21770000	20360	1.00000
71.00	84.00	72.00	20480	21710000	20537	1.00276
71.00	84.00	71.90	20680	21700000	20747	1.00323
71.00	84.00	71.80	20920	21710000	20978	1.00276
71.00	84.00	71.70	21120	21710000	21178	1.00276
71.00	84.00	71.60	21390	21710000	21449	1.00276
71.00	84.00	71.50	21620	21720000	21670	1.00230
71.00	84.00	71.40	21880	21720000	21930	1.00230
71.00	84.00	71.30	22130	21730000	22171	1.00184
71.00	84.00	71.20	22450	21730000	22491	1.00184
71.00	84.00	71.10	22760	21710000	22823	1.00276
71.00	84.00	71.00	23110	21710000	23174	1.00276
71.00	84.00	70.90	23430	21740000	23462	1.00138
71.00	84.00	70.80	23750	21750000	23772	1.00092
71.00	84.00	70.70	24170	21750000	24192	1.00092
71.00	84.00	70.60	24590	21760000	24601	1.00046
71.00	84.00	70.50	25020	21770000	25020	1.00000
71.00	84.00	70.40	25400	21740000	25435	1.00138
71.00	84.00	70.30	25950	21760000	25962	1.00046
71.00	84.00	70.20	26510	21760000	26522	1.00046
71.00	84.00	70.10	27120	21770000	27120	1.00000
71.00	84.00	70.00	27710	21750000	27735	1.00092
71.00	84.00	69.90	28370	21760000	28383	1.00046
71.00	84.00	69.80	29080	21740000	29120	1.00138
71.00	84.00	69.70	29970	21760000	29984	1.00046
71.00	84.00	69.60	30890	21780000	30876	0.99954
71.00	84.00	69.50	31740	21780000	31725	0.99954
71.00	84.00	69.40	32760	21780000	32745	0.99954
71.00	84.00	69.30	33690	21750000	33721	1.00092
71.00	84.00	69.20	34740	21760000	34756	1.00046
71.00	84.00	69.10	35800	21780000	35784	0.99954
71.00	84.00	69.00	36670	21770000	36670	1.00000
71.00	84.00	68.90	37540	21760000	37557	1.00046
71.00	84.00	68.80	38330	21770000	38330	1.00000
71.00	84.00	68.70	38830	21750000	38866	1.00092
71.00	84.00	68.60	39100	21750000	39136	1.00092
71.00	84.00	68.50	39310	21740000	39364	1.00138
71.00	84.00	68.40	39180	21770000	39180	1.00000
71.00	84.00	68.30	38650	21750000	38686	1.00092
71.00	84.00	68.20	38030	21790000	37995	0.99908
71.00	84.00	68.10	36850	21780000	36833	0.99954
71.00	84.00	68.00	35580	21760000	35596	1.00046
71.00	84.00	67.90	33950	21740000	33997	1.00138
71.00	84.00	67.80	32020	21770000	32020	1.00000
71.00	84.00	67.70	29990	21780000	29976	0.99954
71.00	84.00	67.60	27810	21800000	27772	0.99862
71.00	84.00	67.50	25390	21770000	25390	1.00000
71.00	84.00	67.40	23050	21750000	23071	1.00092
71.00	84.00	67.30	20530	21780000	20521	0.99954
71.00	84.00	67.20	18350	21810000	18316	0.99817
71.00	84.00	67.10	16120	21760000	16127	1.00046
71.00	84.00	67.00	13980	21720000	14012	1.00230
71.00	84.00	66.90	11990	21690000	12034	1.00369
71.00	84.00	66.80	10200	21720000	10223	1.00230
71.00	84.00	66.70	8610	21760000	8614	1.00046
71.00	84.00	66.60	7200	21750000	7207	1.00092
71.00	84.00	66.50	5920	21760000	5923	1.00046
71.00	84.00	66.40	4830	21750000	4834	1.00092
71.00	84.00	66.30	3970	21750000	3974	1.00092
71.00	84.00	66.20	3230	21750000	3233	1.00092
71.00	84.00	66.10	2620	21760000	2621	1.00046
71.00	84.00	66.00	2100	21760000	2101	1.00046
71.00	84.00	65.90	1740	21730000	1743	1.00184
71.00	84.00	65.80	1430	21750000	1431	1.00092
71.00	84.00	65.70	1180	21790000	1179	0.99908
71.00	84.00	65.60	1030	21790000	1029	0.99908
71.00	84.00	65.50	900	21780000	900	0.99954
71.00	84.00	65.40	820	21790000	819	0.99908
71.00	84.00	65.30	740	21780000	740	0.99954
71.00	84.00	65.20	700	21760000	700	1.00046
71.00	84.00	65.10	680	21760000	680	1.00046
71.00	84.00	65.00	670	21780000	670	0.99954
71.00	84.00	64.90	640	21760000	640	1.00046
71.00	84.00	64.80	630	21760000	630	1.00046
71.00	84.00	64.70	620	21750000	621	1.00092
71.00	84.00	64.60	620	21750000	621	1.00092
71.00	84.00	64.50	590	21760000	590	1.00046
71.00	84.00	64.40	590	21740000	591	1.00138
71.00	84.00	64.30	560	21730000	561	1.00184
71.00	84.00	64.20	540	21730000	541	1.00184
71.00	84.00	64.10	530	21740000	531	1.00138
71.00	84.00	64.00	500	21740000	501	1.00138
71.00	84.00	63.90	470	21740000	471	1.00138
71.00	84.00	63.80	450	21730000	451	1.00184
71.00	84.00	63.70	410	21780000	410	0.99954
71.00	84.00	63.60	380	21780000	380	0.99954
71.00	84.00	63.50	370	21780000	370	0.99954
71.00	84.00	63.40	340	21770000	340	1.00000
71.00	84.00	63.30	310	21760000	310	1.00046
71.00	84.00	63.20	300	21750000	300	1.00092
71.00	84.00	63.10	280	21730000	281	1.00184
71.00	84.00	63.00	260	21710000	261	1.00276
71.00	84.00	62.90	250	21710000	251	1.00276
71.00	84.00	62.80	220	21720000	221	1.00230
71.00	84.00	62.70	210	21720000	210	1.00230
71.00	84.00	62.60	200	21720000	200	1.00230
71.00	84.00	62.50	200	21710000	201	1.00276
71.00	84.00	62.40	180	21740000	180	1.00138
71.00	84.00	62.30	180	21730000	180	1.00184
71.00	84.00	62.20	170	21760000	170	1.00046
71.00	84.00	62.10	160	21760000	160	1.00046
71.00	84.00	62.00	150	21750000	150	1.00092
71.00	84.00	61.90	150	21760000	150	1.00046
71.00	84.00	61.80	140	21780000	140	0.99954
