This file was created by CODIAN@move
Dienstag, 22. Juni 2010		21:38

Profile mode:	1-D-Scan    Z
Timebase Counter [ms]:	1000
No. of Steps:	351
Pos. X	Pos.Y	Pos. Z	Probe	Reference	norm. Probe	norm. Factor
70.00	86.00	75.00	25990	21860000	25990	1.00000
70.00	86.00	74.90	26060	21910000	26001	0.99772
70.00	86.00	74.80	25970	21920000	25899	0.99726
70.00	86.00	74.69	26000	21870000	25988	0.99954
70.00	86.00	74.60	26100	21870000	26088	0.99954
70.00	86.00	74.50	25980	21830000	26016	1.00137
70.00	86.00	74.40	25970	21800000	26041	1.00275
70.00	86.00	74.30	25970	21810000	26030	1.00229
70.00	86.00	74.20	26080	21860000	26080	1.00000
70.00	86.00	74.10	26070	21880000	26046	0.99909
70.00	86.00	74.00	26090	21890000	26054	0.99863
70.00	86.00	73.90	26070	21850000	26082	1.00046
70.00	86.00	73.80	26100	21860000	26100	1.00000
70.00	86.00	73.70	26150	21870000	26138	0.99954
70.00	86.00	73.59	26120	21860000	26120	1.00000
70.00	86.00	73.50	26050	21800000	26122	1.00275
70.00	86.00	73.39	26130	21790000	26214	1.00321
70.00	86.00	73.30	26170	21830000	26206	1.00137
70.00	86.00	73.19	26170	21880000	26146	0.99909
70.00	86.00	73.10	26180	21890000	26144	0.99863
70.00	86.00	73.00	26150	21830000	26186	1.00137
70.00	86.00	72.90	26200	21820000	26248	1.00183
70.00	86.00	72.80	26230	21830000	26266	1.00137
70.00	86.00	72.70	26270	21850000	26282	1.00046
70.00	86.00	72.59	26250	21850000	26262	1.00046
70.00	86.00	72.50	26260	21820000	26308	1.00183
70.00	86.00	72.39	26330	21860000	26330	1.00000
70.00	86.00	72.30	26300	21860000	26300	1.00000
70.00	86.00	72.20	26380	21880000	26356	0.99909
70.00	86.00	72.10	26320	21850000	26332	1.00046
70.00	86.00	72.00	26410	21850000	26422	1.00046
70.00	86.00	71.89	26370	21840000	26394	1.00092
70.00	86.00	71.80	26430	21840000	26454	1.00092
70.00	86.00	71.69	26410	21840000	26434	1.00092
70.00	86.00	71.60	26460	21860000	26460	1.00000
70.00	86.00	71.49	26490	21870000	26478	0.99954
70.00	86.00	71.40	26500	21860000	26500	1.00000
70.00	86.00	71.30	26580	21900000	26531	0.99817
70.00	86.00	71.20	26570	21890000	26534	0.99863
70.00	86.00	71.10	26570	21890000	26534	0.99863
70.00	86.00	71.00	26610	21860000	26610	1.00000
70.00	86.00	70.89	26620	21840000	26644	1.00092
70.00	86.00	70.80	26620	21790000	26706	1.00321
70.00	86.00	70.69	26680	21820000	26729	1.00183
70.00	86.00	70.60	26610	21800000	26683	1.00275
70.00	86.00	70.49	26710	21870000	26698	0.99954
70.00	86.00	70.40	26850	21920000	26777	0.99726
70.00	86.00	70.29	26770	21900000	26721	0.99817
70.00	86.00	70.20	26800	21880000	26776	0.99909
70.00	86.00	70.10	26850	21880000	26825	0.99909
70.00	86.00	70.00	26870	21900000	26821	0.99817
70.00	86.00	69.89	26850	21870000	26838	0.99954
70.00	86.00	69.80	26860	21840000	26885	1.00092
70.00	86.00	69.69	26880	21850000	26892	1.00046
70.00	86.00	69.60	26930	21840000	26955	1.00092
70.00	86.00	69.49	26920	21830000	26957	1.00137
70.00	86.00	69.40	26990	21840000	27015	1.00092
70.00	86.00	69.30	26970	21880000	26945	0.99909
