This file was created by CODIAN@move
Mittwoch, 22. August 2007		23:20

Profile mode:	1-D-Scan    Z
Timebase Counter [ms]:	1000
No. of Steps:	201
Pos. X	Pos.Y	Pos. Z	Probe	Reference	norm. Probe	norm. Factor
88.30	64.80	30.00	675	584	675	1.00000
88.30	64.80	29.90	675	584	675	1.00000
88.30	64.80	29.80	680	584	680	1.00000
88.30	64.80	29.70	680	582	682	1.00344
88.30	64.80	29.60	683	584	683	1.00000
88.30	64.80	29.50	680	583	681	1.00172
88.30	64.80	29.40	674	579	680	1.00864
88.30	64.80	29.30	686	584	686	1.00000
88.30	64.80	29.20	694	586	692	0.99659
88.30	64.80	29.10	693	584	693	1.00000
88.30	64.80	29.00	697	583	698	1.00172
88.30	64.80	28.90	701	585	700	0.99829
88.30	64.80	28.80	699	584	699	1.00000
88.30	64.80	28.70	704	585	703	0.99829
88.30	64.80	28.60	700	580	705	1.00690
88.30	64.80	28.50	702	581	706	1.00516
88.30	64.80	28.40	711	583	712	1.00172
88.30	64.80	28.30	711	584	711	1.00000
88.30	64.80	28.20	711	584	711	1.00000
88.30	64.80	28.10	716	584	716	1.00000
88.30	64.80	28.00	715	583	716	1.00172
88.30	64.80	27.90	722	585	721	0.99829
88.30	64.80	27.80	719	583	720	1.00172
88.30	64.80	27.70	721	583	722	1.00172
88.30	64.80	27.60	726	582	728	1.00344
88.30	64.80	27.50	719	583	720	1.00172
88.30	64.80	27.40	723	584	723	1.00000
88.30	64.80	27.30	726	584	726	1.00000
88.30	64.80	27.20	734	587	730	0.99489
88.30	64.80	27.10	737	587	733	0.99489
88.30	64.80	27.00	740	584	740	1.00000
88.30	64.80	26.90	742	586	739	0.99659
88.30	64.80	26.80	737	583	738	1.00172
88.30	64.80	26.70	742	582	745	1.00344
88.30	64.80	26.60	748	585	747	0.99829
88.30	64.80	26.50	754	586	751	0.99659
88.30	64.80	26.40	765	586	762	0.99659
88.30	64.80	26.30	755	583	756	1.00172
88.30	64.80	26.20	765	585	764	0.99829
88.30	64.80	26.10	777	587	773	0.99489
88.30	64.80	26.00	783	589	776	0.99151
88.30	64.80	25.90	783	585	782	0.99829
88.30	64.80	25.80	782	584	782	1.00000
88.30	64.80	25.70	787	582	790	1.00344
88.30	64.80	25.60	790	584	790	1.00000
88.30	64.80	25.50	796	585	795	0.99829
88.30	64.80	25.40	796	585	795	0.99829
88.30	64.80	25.30	802	585	801	0.99829
88.30	64.80	25.20	805	584	805	1.00000
88.30	64.80	25.10	812	586	809	0.99659
88.30	64.80	25.00	810	583	811	1.00172
88.30	64.80	24.90	817	584	817	1.00000
88.30	64.80	24.80	813	583	814	1.00172
88.30	64.80	24.70	826	586	823	0.99659
88.30	64.80	24.60	835	586	832	0.99659
88.30	64.80	24.50	842	587	838	0.99489
88.30	64.80	24.40	846	588	840	0.99320
88.30	64.80	24.30	847	586	844	0.99659
88.30	64.80	24.20	851	585	850	0.99829
88.30	64.80	24.10	852	585	851	0.99829
88.30	64.80	24.00	865	588	859	0.99320
88.30	64.80	23.90	853	583	854	1.00172
88.30	64.80	23.80	856	583	857	1.00172
88.30	64.80	23.70	864	584	864	1.00000
88.30	64.80	23.60	873	585	872	0.99829
88.30	64.80	23.50	879	586	876	0.99659
88.30	64.80	23.40	887	588	881	0.99320
88.30	64.80	23.30	889	586	886	0.99659
88.30	64.80	23.20	889	584	889	1.00000
88.30	64.80	23.10	895	586	892	0.99659
88.30	64.80	23.00	903	586	900	0.99659
88.30	64.80	22.90	910	587	905	0.99489
88.30	64.80	22.80	920	586	917	0.99659
88.30	64.80	22.70	927	589	919	0.99151
88.30	64.80	22.60	928	586	925	0.99659
88.30	64.80	22.50	935	587	930	0.99489
88.30	64.80	22.40	940	586	937	0.99659
88.30	64.80	22.30	947	586	944	0.99659
88.30	64.80	22.20	954	588	948	0.99320
88.30	64.80	22.10	961	587	956	0.99489
88.30	64.80	22.00	968	583	970	1.00172
88.30	64.80	21.90	977	586	974	0.99659
88.30	64.80	21.80	989	587	984	0.99489
88.30	64.80	21.70	999	587	994	0.99489
88.30	64.80	21.60	1005	587	1000	0.99489
88.30	64.80	21.50	1017	588	1010	0.99320
88.30	64.80	21.40	1027	588	1020	0.99320
88.30	64.80	21.30	1045	590	1034	0.98983
88.30	64.80	21.20	1044	587	1039	0.99489
88.30	64.80	21.10	1053	587	1048	0.99489
88.30	64.80	21.00	1062	585	1060	0.99829
88.30	64.80	20.90	1070	587	1065	0.99489
88.30	64.80	20.80	1084	589	1075	0.99151
88.30	64.80	20.70	1094	587	1088	0.99489
88.30	64.80	20.60	1113	588	1105	0.99320
88.30	64.80	20.50	1121	587	1115	0.99489
88.30	64.80	20.40	1132	586	1128	0.99659
88.30	64.80	20.30	1147	584	1147	1.00000
88.30	64.80	20.20	1160	587	1154	0.99489
88.30	64.80	20.10	1187	591	1173	0.98816
88.30	64.80	20.00	1194	590	1182	0.98983
88.30	64.80	19.90	1205	587	1199	0.99489
88.30	64.80	19.80	1228	589	1218	0.99151
88.30	64.80	19.70	1257	590	1244	0.98983
88.30	64.80	19.60	1269	588	1260	0.99320
88.30	64.80	19.50	1282	585	1280	0.99829
88.30	64.80	19.40	1313	587	1306	0.99489
88.30	64.80	19.30	1336	589	1325	0.99151
88.30	64.80	19.20	1344	586	1339	0.99659
88.30	64.80	19.10	1363	586	1358	0.99659
88.30	64.80	19.00	1401	588	1391	0.99320
88.30	64.80	18.90	1437	590	1422	0.98983
88.30	64.80	18.80	1458	586	1453	0.99659
88.30	64.80	18.70	1498	588	1488	0.99320
88.30	64.80	18.60	1508	586	1503	0.99659
88.30	64.80	18.50	1557	584	1557	1.00000
88.30	64.80	18.40	1596	585	1593	0.99829
88.30	64.80	18.30	1655	586	1649	0.99659
88.30	64.80	18.20	1707	590	1690	0.98983
88.30	64.80	18.10	1765	590	1747	0.98983
88.30	64.80	18.00	1796	584	1796	1.00000
88.30	64.80	17.90	1870	583	1873	1.00172
88.30	64.80	17.80	1947	585	1944	0.99829
88.30	64.80	17.70	2007	586	2000	0.99659
88.30	64.80	17.60	2062	584	2062	1.00000
88.30	64.80	17.50	2133	583	2137	1.00172
88.30	64.80	17.40	2196	583	2200	1.00172
88.30	64.80	17.30	2247	584	2247	1.00000
88.30	64.80	17.20	2256	582	2264	1.00344
88.30	64.80	17.10	2256	578	2279	1.01038
88.30	64.80	17.00	2264	580	2280	1.00690
88.30	64.80	16.90	2222	580	2237	1.00690
88.30	64.80	16.80	2159	579	2178	1.00864
88.30	64.80	16.70	2066	582	2073	1.00344
88.30	64.80	16.60	1960	586	1953	0.99659
88.30	64.80	16.50	1797	582	1803	1.00344
88.30	64.80	16.40	1633	581	1641	1.00516
88.30	64.80	16.30	1453	582	1458	1.00344
88.30	64.80	16.20	1256	579	1267	1.00864
88.30	64.80	16.10	1074	577	1087	1.01213
88.30	64.80	16.00	897	576	909	1.01389
88.30	64.80	15.90	728	572	743	1.02098
88.30	64.80	15.80	582	571	595	1.02277
88.30	64.80	15.70	452	573	461	1.01920
88.30	64.80	15.60	339	569	348	1.02636
88.30	64.80	15.50	247	566	255	1.03180
88.30	64.80	15.40	176	568	181	1.02817
88.30	64.80	15.30	119	573	121	1.01920
88.30	64.80	15.20	77	578	78	1.01038
88.30	64.80	15.10	44	576	45	1.01389
88.30	64.80	15.00	20	576	20	1.01389
88.30	64.80	14.90	3	575	3	1.01565
88.30	64.80	14.80	0	573	0	1.01920
88.30	64.80	14.70	0	575	0	1.01565
88.30	64.80	14.60	7	575	7	1.01565
88.30	64.80	14.50	13	573	13	1.01920
88.30	64.80	14.40	14	573	14	1.01920
88.30	64.80	14.30	16	570	16	1.02456
88.30	64.80	14.20	17	573	17	1.01920
88.30	64.80	14.10	15	576	15	1.01389
88.30	64.80	14.00	15	576	15	1.01389
