This file was created by CODIAN@move
Mittwoch, 22. August 2007		22:17

Profile mode:	1-D-Scan    Z
Timebase Counter [ms]:	500
No. of Steps:	501
Pos. X	Pos.Y	Pos. Z	Probe	Reference	norm. Probe	norm. Factor
88.30	64.80	60.00	430	548	430	1.00000
88.30	64.80	59.90	429	547	430	1.00183
88.30	64.80	59.80	430	550	428	0.99636
88.30	64.80	59.70	429	550	427	0.99636
88.30	64.80	59.60	428	547	429	1.00183
88.30	64.80	59.50	430	549	429	0.99818
88.30	64.80	59.40	427	547	428	1.00183
88.30	64.80	59.30	430	550	428	0.99636
88.30	64.80	59.20	430	550	428	0.99636
88.30	64.80	59.10	429	549	428	0.99818
88.30	64.80	59.00	430	549	429	0.99818
88.30	64.80	58.90	428	549	427	0.99818
88.30	64.80	58.80	428	549	427	0.99818
88.30	64.80	58.70	429	548	429	1.00000
88.30	64.80	58.60	429	549	428	0.99818
88.30	64.80	58.50	427	550	425	0.99636
88.30	64.80	58.40	431	549	430	0.99818
88.30	64.80	58.30	433	548	433	1.00000
88.30	64.80	58.20	434	549	433	0.99818
88.30	64.80	58.10	433	548	433	1.00000
88.30	64.80	58.00	435	550	433	0.99636
88.30	64.80	57.90	435	551	433	0.99456
88.30	64.80	57.80	435	549	434	0.99818
88.30	64.80	57.70	435	549	434	0.99818
88.30	64.80	57.60	435	549	434	0.99818
88.30	64.80	57.50	435	547	436	1.00183
88.30	64.80	57.40	436	548	436	1.00000
88.30	64.80	57.30	438	548	438	1.00000
88.30	64.80	57.20	439	549	438	0.99818
88.30	64.80	57.10	438	548	438	1.00000
88.30	64.80	57.00	440	548	440	1.00000
88.30	64.80	56.90	439	549	438	0.99818
88.30	64.80	56.80	439	549	438	0.99818
88.30	64.80	56.70	440	548	440	1.00000
88.30	64.80	56.60	440	549	439	0.99818
88.30	64.80	56.50	441	549	440	0.99818
88.30	64.80	56.40	442	549	441	0.99818
88.30	64.80	56.30	443	549	442	0.99818
88.30	64.80	56.20	445	551	443	0.99456
88.30	64.80	56.10	444	549	443	0.99818
88.30	64.80	56.00	443	548	443	1.00000
88.30	64.80	55.90	444	549	443	0.99818
88.30	64.80	55.80	444	548	444	1.00000
88.30	64.80	55.70	443	548	443	1.00000
88.30	64.80	55.60	443	547	444	1.00183
88.30	64.80	55.50	444	548	444	1.00000
88.30	64.80	55.40	447	550	445	0.99636
88.30	64.80	55.30	441	547	442	1.00183
88.30	64.80	55.20	445	547	446	1.00183
88.30	64.80	55.10	448	549	447	0.99818
88.30	64.80	55.00	446	546	448	1.00366
88.30	64.80	54.90	450	549	449	0.99818
88.30	64.80	54.80	451	550	449	0.99636
88.30	64.80	54.70	450	549	449	0.99818
88.30	64.80	54.60	447	545	449	1.00550
88.30	64.80	54.50	452	548	452	1.00000
88.30	64.80	54.40	451	547	452	1.00183
88.30	64.80	54.30	451	547	452	1.00183
88.30	64.80	54.20	454	549	453	0.99818
88.30	64.80	54.10	456	551	454	0.99456
88.30	64.80	54.00	454	547	455	1.00183
88.30	64.80	53.90	454	549	453	0.99818
88.30	64.80	53.80	454	550	452	0.99636
88.30	64.80	53.70	453	548	453	1.00000
88.30	64.80	53.60	454	547	455	1.00183
88.30	64.80	53.50	452	545	454	1.00550
88.30	64.80	53.40	458	549	457	0.99818
88.30	64.80	53.30	457	549	456	0.99818
88.30	64.80	53.20	455	546	457	1.00366
88.30	64.80	53.10	455	546	457	1.00366
88.30	64.80	53.00	456	547	457	1.00183
88.30	64.80	52.90	458	548	458	1.00000
88.30	64.80	52.80	460	549	459	0.99818
88.30	64.80	52.70	459	547	460	1.00183
88.30	64.80	52.60	460	546	462	1.00366
88.30	64.80	52.50	461	549	460	0.99818
88.30	64.80	52.40	459	546	461	1.00366
88.30	64.80	52.30	463	550	461	0.99636
88.30	64.80	52.20	460	547	461	1.00183
88.30	64.80	52.10	461	547	462	1.00183
88.30	64.80	52.00	463	547	464	1.00183
88.30	64.80	51.90	466	550	464	0.99636
88.30	64.80	51.80	464	548	464	1.00000
88.30	64.80	51.70	464	547	465	1.00183
88.30	64.80	51.60	465	547	466	1.00183
88.30	64.80	51.50	467	550	465	0.99636
88.30	64.80	51.40	463	548	463	1.00000
88.30	64.80	51.30	468	549	467	0.99818
88.30	64.80	51.20	467	547	468	1.00183
88.30	64.80	51.10	467	547	468	1.00183
